OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength,centroid_lat,centroid_lon,nearest_facility_id,nearest_facility_name,nearest_facility_distance_km,nearest_facility_distance_miles,count_within_1km,count_within_5km,count_within_10km,count_within_15km,count_within_25km,count_within_1mi,count_within_3mi,count_within_5mi,count_within_10mi,count_within_15mi
6165,400501,4005.01,126490827.02190533,54271.2778262399,34.160178727975534,-117.86603266334369,711,HERITAGE RECOVERY CENTER,9.785,6.08,0,0,1,2,3,0,0,0,2,3
6166,400602,4006.02,16609048.603791658,21934.768269559023,34.13848610004401,-117.90922360001393,711,HERITAGE RECOVERY CENTER,8.495,5.279,0,0,2,3,4,0,0,0,3,4
6167,400603,4006.03,98883988.54015283,64948.460207466014,34.15294440636322,-117.92223007889727,421,EGGLESTON SUBSTANCE ABUSE AND EDUCATION PROGRAM,10.202,6.34,0,0,0,3,4,0,0,0,3,4
6168,400605,4006.05,53486146.99780194,37045.527300947455,34.14834514985023,-117.89805751741146,711,HERITAGE RECOVERY CENTER,9.05,5.623,0,0,1,2,4,0,0,0,3,4
6169,400801,4008.01,38595769.123305105,26500.195179226648,34.13681251063787,-117.88087891212362,711,HERITAGE RECOVERY CENTER,7.363,4.575,0,0,1,2,4,0,0,1,3,4
6170,401001,4010.01,15605775.083624756,15802.995108141067,34.141517357671205,-117.85280082241941,711,HERITAGE RECOVERY CENTER,7.768,4.827,0,0,1,2,3,0,0,1,2,3
6171,401002,4010.02,15859141.888965106,15902.422711968708,34.14150905114647,-117.8659006996878,711,HERITAGE RECOVERY CENTER,7.71,4.791,0,0,1,2,4,0,0,1,2,3
6172,401101,4011.01,32453940.069350936,25073.84020793678,34.1260528294585,-117.85466309485973,711,HERITAGE RECOVERY CENTER,6.04,3.753,0,0,1,2,4,0,0,1,2,4
6173,401102,4011.02,13800316.546991289,15934.96591900979,34.131048356239475,-117.86667416105742,711,HERITAGE RECOVERY CENTER,6.55,4.07,0,0,1,2,4,0,0,1,2,4
6174,401201,4012.01,25213285.06885754,23559.574902220822,34.12416952394011,-117.8347624074262,711,HERITAGE RECOVERY CENTER,6.349,3.945,0,0,1,1,3,0,0,1,2,3
6175,401202,4012.02,34259209.144041784,25891.550026658995,34.11337907268933,-117.83394999151142,711,HERITAGE RECOVERY CENTER,5.318,3.305,0,0,1,2,4,0,0,1,2,3
6176,401203,4012.03,20501499.73881169,18844.863931315598,34.112073084895236,-117.85505227704489,711,HERITAGE RECOVERY CENTER,4.498,2.795,0,1,1,2,4,0,1,1,2,4
6177,401303,4013.03,62465682.58063841,43099.0758613954,34.07243427234059,-117.81013687729968,711,HERITAGE RECOVERY CENTER,4.9,3.045,0,1,1,1,4,0,0,1,1,4
6178,401304,4013.04,106366286.02791993,70996.38845971753,34.08437322030783,-117.81760316429354,711,HERITAGE RECOVERY CENTER,4.424,2.749,0,1,1,1,4,0,1,1,2,4
6179,401311,4013.11,46051481.05568006,31456.227764348576,34.11119687563869,-117.81448706907166,711,HERITAGE RECOVERY CENTER,6.248,3.882,0,0,1,1,3,0,0,1,1,3
6180,401312,4013.12,30222476.33407636,24426.330854686476,34.09885858492647,-117.82894551529752,711,HERITAGE RECOVERY CENTER,4.338,2.695,0,1,1,2,4,0,1,1,2,4
6181,401500,4015.00,51333776.85888195,46188.01163854158,34.09688029194022,-117.77867068344261,711,HERITAGE RECOVERY CENTER,8.266,5.136,0,0,1,1,3,0,0,0,1,3
6182,401601,4016.01,27953045.546377078,29226.296967676582,34.11717888918669,-117.764094662038,711,HERITAGE RECOVERY CENTER,10.417,6.473,0,0,0,1,2,0,0,0,1,2
6183,401602,4016.02,21815355.02400036,19135.936699763617,34.10608596245079,-117.76399893542678,711,HERITAGE RECOVERY CENTER,9.893,6.147,0,0,1,1,2,0,0,0,1,2
6184,401705,4017.05,17481731.263131913,22160.025299973695,34.1155926917716,-117.74347535080045,711,HERITAGE RECOVERY CENTER,12.046,7.485,0,0,0,1,2,0,0,0,1,2
6185,401706,4017.06,13341546.823180899,19057.11430740031,34.102142125125745,-117.75228072735355,711,HERITAGE RECOVERY CENTER,10.755,6.683,0,0,0,1,2,0,0,0,1,2
6186,401707,4017.07,22666357.57016658,24977.752043807657,34.10131435005139,-117.74184382310861,711,HERITAGE RECOVERY CENTER,11.647,7.237,0,0,0,1,2,0,0,0,1,2
6187,401801,4018.01,38345146.36671741,25381.717107061617,34.11456758594928,-117.70835949902781,711,HERITAGE RECOVERY CENTER,15.028,9.338,0,0,0,0,1,0,0,0,1,1
6188,401802,4018.02,26395951.89117201,20557.886640214274,34.114284949250646,-117.7285061448682,711,HERITAGE RECOVERY CENTER,13.268,8.245,0,0,0,1,2,0,0,0,1,1
6189,401901,4019.01,18480713.486246027,18375.015898114016,34.10071175113951,-117.70871091320902,711,HERITAGE RECOVERY CENTER,14.588,9.065,0,0,0,1,1,0,0,0,1,1
6190,401902,4019.02,28632192.372609284,24786.858621500043,34.10092693698578,-117.72527596453077,711,HERITAGE RECOVERY CENTER,13.109,8.146,0,0,0,1,2,0,0,0,1,1
6191,402001,4020.01,15701036.005937543,18566.424321877395,34.08732940099245,-117.72435459334743,711,HERITAGE RECOVERY CENTER,12.91,8.022,0,0,0,1,2,0,0,0,1,1
6192,402002,4020.02,17810907.181600824,17687.78478249131,34.08742377940196,-117.71349893515671,711,HERITAGE RECOVERY CENTER,13.903,8.639,0,0,0,1,1,0,0,0,1,1
6193,402101,4021.01,12803862.997169957,17664.270691474725,34.08605438042471,-117.73375867228583,711,HERITAGE RECOVERY CENTER,12.033,7.477,0,0,0,1,2,0,0,0,1,2
6194,402102,4021.02,24736703.02890737,20823.53921753051,34.08509286145679,-117.74507599091913,711,HERITAGE RECOVERY CENTER,10.986,6.826,0,0,0,1,2,0,0,0,1,2
6195,402200,4022.00,68457965.31434399,45687.76522657122,34.08211452353749,-117.76660258656736,711,HERITAGE RECOVERY CENTER,8.977,5.578,0,0,1,1,3,0,0,0,1,2
6196,402301,4023.01,14331189.67319689,16815.666599361644,34.068039475068055,-117.77010010330014,711,HERITAGE RECOVERY CENTER,8.601,5.344,0,0,1,1,3,0,0,0,1,2
6197,402303,4023.03,10164035.122604568,13648.709801592748,34.06713277069333,-117.7559202029355,711,HERITAGE RECOVERY CENTER,9.91,6.158,0,0,1,1,2,0,0,0,1,2
